Sample;Group;met_01;met_02;met_03;met_04;met_05;met_06;met_07;met_08;met_09;met_10;met_11;met_12;met_13;met_14;met_15;met_16;met_17;met_18;met_19;met_20;met_21;met_22;met_23;met_24;met_25;met_26;met_27;met_28;met_29;met_30;met_31;met_32;met_33;met_34
A_R5_I;A_R5;-0.481800629;2.050249838;-0.295509212;-0.598763586;-0.361520936;-0.238145856;-0.400329436;-0.324383034;-0.669785037;-0.755133127;-0.57736212;-0.988521264;-0.055039577;-0.375982152;-0.40778196;-0.676744357;-0.878176625;-0.598492334;0.13606612;-0.305420582;-0.503613888;-0.275440705;-0.458789417;0.394266268;-0.773121162;-0.381953805;-0.70354264;-0.458260171;-0.439073722;-0.243116813;0.30466983;-0.590205605;-0.051895565;-0.512641553
A_R5_II;A_R5;-1.001662679;-0.775967395;-1.689529325;-0.46620409;-0.738059066;-0.111391989;-0.109712893;0.025197008;-1.022365012;0.24626312;-1.190540369;-0.766211051;-0.821885395;-0.355785974;-0.960339229;-0.933179342;-0.9953017;-0.799028471;-0.649008406;-0.847679672;-0.798861354;-0.592662404;-0.509665164;-0.947185339;-1.048575589;-0.964892955;-0.70354264;-0.928924266;-0.98660449;-1.101582958;-0.847708232;-1.047216744;-1.202833933;-0.291638519
A_R5_III;A_R5;-1.036419918;-0.943188174;-0.701493265;-0.249893862;-0.26075086;-0.007200465;-0.016728615;0.063102696;-0.715895891;0.298831172;0.489568757;0.020470906;-0.10316331;-0.308573427;-0.262766347;-0.071628774;-0.549712233;-0.089495104;0.35451462;0.122343972;0.034321773;0.287328478;0.351732408;0.388919089;0.021432854;-0.177041517;0.000120839;0.118554053;-0.386662934;0.052089701;0.042447655;-0.159629861;-0.934650701;0.010916894
B_R5_I;B_R5;-0.2769326;-0.637197731;0.481644363;-1.224936865;-0.530293752;-0.16236544;-0.362330107;-0.035603393;-0.45767622;-1.031796301;-0.279280008;-0.628438232;1.617177811;0.303547345;1.76718688;1.800177443;1.325062564;1.42873925;1.373507001;1.401360632;2.921120407;0.820782846;1.947720817;1.178334123;1.525342334;1.715024997;1.491642388;1.149091348;1.918327485;1.32712057;1.875450493;1.659871732;-0.332691909;-0.362900614
B_R5_II;B_R5;-1.515603221;-0.572883801;-0.58831105;-1.219744928;-0.224899757;-1.478015475;-1.310852031;-0.945384976;0.040830987;0.635090145;0.542902144;-0.288744781;-0.517894754;-0.243904502;-0.854013754;-0.899124286;-0.464976452;-0.757195489;-1.426223568;-0.577575135;-0.584699962;-0.564263287;-0.337120956;-1.311967326;-0.831712664;-0.789773403;-0.70354264;-0.804684502;-0.814210038;-0.218328742;-0.858737848;-0.810236493;-1.284820384;-1.139914231
B_R5_III;B_R5;-0.792304666;-0.617678214;0.422686181;-0.163978198;-0.662942367;-0.689581545;-0.490214719;-0.377953576;-0.120630584;-0.686989556;-0.237526247;0.320933715;-0.666323066;-0.381941993;-0.817116387;-1.17592016;-1.009644398;-0.98766599;-1.426223568;-0.858838251;-0.965183258;-1.049135964;-0.760144921;-1.676045854;-1.336654556;-1.261798622;-0.70354264;-1.379272022;-1.235396397;-0.606024336;-1.027210676;-1.167228603;-0.346248469;-0.699574319
C_R5_I;C_R5;0.264027112;-0.717325465;-0.909509192;-0.229855563;-0.87868293;-0.145299463;-0.18926719;-0.152215832;-1.036906191;-1.077342219;-1.190540369;0.237415854;-0.870188943;-0.412632565;-0.919740867;0.020830365;0.660941071;-0.075257793;-1.43940491;-0.861098884;-0.192484545;-0.438407296;-0.218784654;-0.390967523;-0.404283252;-0.54466948;-0.70354264;-0.748036109;-0.278617662;-0.686279936;-0.521864982;-0.386744824;-0.417159154;-0.379731601
C_R5_II;C_R5;-0.13367849;0.027971837;0.151696954;-0.286918323;-0.254879859;0.327711799;0.192979932;0.241975081;-0.884564438;-1.372991798;0.73039136;0.502698703;-0.303906999;-0.344993173;-0.275447075;0.634249229;0.147895296;0.406764322;0.28371823;-0.432818108;0.209807754;0.211704512;0.193093304;0.407053949;0.126739507;0.082028015;0.096708629;0.104826982;0.469260752;-0.32480526;0.081464969;-0.045344041;-0.184234919;0.321608443
C_R5_III;C_R5;-0.099859201;-0.789047874;-0.499689046;0.355260514;-1.078656009;-0.511031651;-0.507143412;-1.321356062;-1.065476762;-0.492960993;0.305709526;2.382026058;-0.887424288;-0.272402519;-0.187999849;0.540607602;0.6446233;0.089019084;-0.714138842;-0.863132632;0.211920378;0.295815069;-0.125955667;-0.318071723;-0.055913426;-0.076304156;-0.70354264;-0.382943419;0.033732296;-0.588636984;-0.747438185;-0.110736673;-0.261301198;-0.636303301
D_R5_I;D_R5;0.947218017;1.480865959;-0.199287181;-0.366404579;-0.791208229;-0.821519753;-0.920179749;-1.463588966;-0.602379103;-1.507245002;-0.88791909;-0.988521264;0.004485768;-0.079833318;0.145801721;-0.262082373;0.251828024;-0.495759411;0.408334303;-0.275310184;-0.349655079;-0.086632053;-0.174888037;0.089317648;-0.303584472;0.503778897;-0.70354264;-0.295030668;-0.555712523;-0.287829044;0.13826952;-0.11941039;0.387809528;-1.200880522
D_R5_II;D_R5;-1.885459548;-0.288060453;-0.325436368;-0.358360466;-0.084560096;-1.438962294;-1.263367897;-0.886895899;0.142363168;-0.619736037;0.996353459;0.118876206;-0.874495248;-0.41008399;-0.871287255;-0.828984271;-0.533179901;-0.817169564;-1.270159686;-0.625664895;-0.679811672;-0.573320084;-1.217920074;-0.386781699;-0.561234896;-0.717128288;-0.70354264;-0.562390389;-0.893387691;-0.622621917;-0.850721665;-0.894663211;-1.068306946;-0.897976565
D_R5_III;D_R5;1.079064819;-0.281886405;1.934326053;1.908452994;0.763645262;-0.392613623;-0.252842988;-0.957401211;2.092094041;0.467768329;1.067488348;1.16165342;0.384783837;3.866573444;-0.302638736;1.066179665;-0.468177738;3.07694334;1.178710839;2.687082381;1.271928147;3.130080082;2.455429348;2.284290782;1.95047163;1.182205906;1.9581836;1.901048896;1.669813374;2.579397201;1.31311841;1.90361325;1.749761217;-0.216671356
E_R5_I;E_R5;0.257229325;0.952268772;-0.242827256;0.115395062;-0.375455711;-0.441670868;-0.794070949;-0.184345757;0.145105668;-0.302811917;-1.068511014;-0.610141004;0.658865798;-0.234383856;0.032546223;-0.097293556;0.17301691;-0.105187001;0.671724173;0.37029635;-1.351626576;-1.483075196;-1.217920074;0.03848545;-0.159810438;-0.189006041;-0.389175799;0.038021699;-0.171840105;-0.561760708;-0.233723408;-0.092067438;0.113660374;-0.765477865
E_R5_II;E_R5;0.751124474;1.937779752;1.766561209;2.203169727;-0.27374511;1.682925832;0.586694525;1.385743987;-0.201718235;1.333949108;-1.203621538;-0.988521264;-0.24469973;-0.355014245;-0.170082202;-0.221155012;-0.197955957;0.207878374;0.290940739;0.661369411;0.206039754;0.28896355;0.902405122;0.283446419;0.435326499;0.384766318;0.695391532;1.225936943;0.816399988;0.364488973;1.481418606;0.173500399;2.020744225;1.135478083
E_R5_III;E_R5;1.423085167;-0.080696657;0.545894715;1.303523871;2.527698177;2.366010381;2.334887302;2.202062618;0.335678208;0.728335295;-1.190540369;-0.988521264;-0.706463393;-0.403526723;-0.506366579;-0.845932177;-0.772360977;-0.644841938;-0.406190448;-0.25943333;-0.64207619;-0.081525391;-0.309481567;-0.356578841;-0.855712474;-0.756876065;-0.70354264;-0.523112244;-0.613685159;-0.489605223;-0.572404544;-0.662343766;1.086834077;2.325508147
F_R5_I;F_R5;-0.061959461;-1.219118399;-1.286397886;-1.1312341;1.154441145;0.051133934;0.26097794;0.178300941;0.372221891;1.579235558;1.305898247;1.492166407;0.419894584;-0.232000134;1.749242435;-0.868672492;-0.860334714;-0.471313023;0.280830102;-0.90481665;-0.37828326;-0.899728991;-1.217920074;-1.472753926;-0.606362175;-1.003542694;-0.70354264;-1.029687658;-0.546928136;-1.054771897;-1.056734308;-0.276710627;-0.86536122;0.386694935
F_R5_II;F_R5;1.401406114;0.699990847;1.628571055;0.995793179;-0.011095156;0.613164422;1.896655028;1.483610067;1.675964134;1.206598213;0.468458873;-0.988521264;3.042730176;0.581039372;2.448019075;2.445092349;2.963164525;1.006346419;1.918134211;1.521133026;1.17096973;0.911391442;0.628716146;1.111173808;2.007914126;2.500183068;1.96683646;2.047362167;2.060842416;1.809788871;1.919632763;2.350202876;1.456584114;1.265075974
F_R5_III;F_R5;1.162525386;-0.226076437;-0.19339075;-0.585300787;2.080965253;1.396852057;1.344845259;1.069136308;1.973139376;1.350936011;1.919070408;0.999900119;-0.076453271;-0.340101588;0.392783907;0.373580145;0.563289006;-0.374284671;0.434869091;0.048202551;0.420187842;0.09812539;0.069493459;0.685064695;0.869738153;0.494999825;1.215718754;0.527499359;-0.046257453;0.652478502;-0.439928398;0.275350017;0.134110862;1.658427972
