Sample;Group;Protein_content;Oil_concentration;Seed_weight;Protein_concentration
A_I;A;-1.426533634;0.612031151;-1.110664888;-0.753821807
A_II;A;-1.842819804;1.282640022;-1.391544764;-1.204852723
A_III;A;-0.525892213;1.000773281;-0.815175353;-0.184768099
B_I;B;-0.380275688;-0.790139789;-0.662415048;0.98625257
B_II;B;-0.801134176;-1.050159522;-0.841841987;0.313828205
B_III;B;-0.525892213;-1.213121253;-0.923319809;-0.184768099
C_I;C;-0.535028014;-0.545519119;-0.738415702;-0.502162582
C_II;C;-0.525892213;-0.398274003;-0.848700052;-0.184768099
C_III;C;-0.945732606;-0.572966986;-1.195169804;-0.291284024
D_I;D;1.132354961;0.430764129;1.357406283;0.774818242
D_II;D;0.629392045;0.114546557;1.195665745;0.259521813
D_III;D;0.847298498;0.739332732;0.982163887;1.024496251
E_I;E;0.238450412;1.533031178;0.857438865;-1.416497275
E_II;E;0.160661714;1.154933056;0.935682898;-1.768861124
E_III;E;0.251113066;1.109933381;0.620450133;-0.841758269
F_I;F;1.042848222;-0.840006696;0.760776081;0.701922609
F_II;F;1.606210743;-1.69113259;0.844344512;1.809995112
F_III;F;1.600870896;-0.876665529;0.973319004;1.462707299
