"metabolite","composition_var","r","p","abs_r"
"met_30","Oil_concentration",-0.482590180854859,0.0425156545944346,0.482590180854859
"met_15","Protein_concentration",0.673818256606494,0.00216924315926561,0.673818256606494
"met_21","Protein_concentration",0.614497266142874,0.00665805170105958,0.614497266142874
"met_26","Protein_concentration",0.608093612916892,0.00741892484840088,0.608093612916892
"met_27","Protein_concentration",0.605447583721462,0.00775314225385073,0.605447583721462
"met_12","Protein_concentration",0.597569433250398,0.00882078006595305,0.597569433250398
"met_17","Protein_content",0.727407892634425,0.000623857654484259,0.727407892634425
"met_27","Protein_content",0.702393912201438,0.00115324544921605,0.702393912201438
"met_32","Protein_content",0.675266473383264,0.00210426084242579,0.675266473383264
"met_16","Protein_content",0.670655332838988,0.0023169342369682,0.670655332838988
"met_31","Protein_content",0.644051426604973,0.00391853748009149,0.644051426604973
"met_34","Seed_weight",0.68343152157585,0.00176721932167,0.68343152157585
"met_17","Seed_weight",0.666092343791233,0.00254452044666569,0.666092343791233
"met_05","Seed_weight",0.656432852148684,0.00308731126255142,0.656432852148684
"met_13","Seed_weight",0.655564401279034,0.00314043732136101,0.655564401279034
"met_14","Seed_weight",0.639999357199664,0.0042272630355912,0.639999357199664
